Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,0.262000,0.262000,0.262000,0.262000,0.262000,0
2015-09-23,0.262000,0.262000,0.262000,0.262000,0.262000,0
2015-09-24,0.262000,0.262000,0.262000,0.262000,0.262000,0
2015-09-25,0.257000,0.276000,0.257000,0.276000,0.276000,4000
2015-09-28,0.276000,0.276000,0.276000,0.276000,0.276000,0
2015-09-29,0.278000,0.278000,0.278000,0.278000,0.278000,10000
2015-09-30,0.284000,0.290000,0.284000,0.290000,0.290000,8600
2015-10-01,0.322000,0.322000,0.322000,0.322000,0.322000,1200
2015-10-02,0.310000,0.320000,0.310000,0.320000,0.320000,14500
2015-10-05,0.310000,0.310000,0.307000,0.307000,0.307000,3000
2015-10-06,0.300000,0.300000,0.300000,0.300000,0.300000,10000
2015-10-07,0.282000,0.282000,0.263000,0.263000,0.263000,2400
2015-10-08,0.266000,0.266000,0.266000,0.266000,0.266000,4600
2015-10-09,0.266000,0.266000,0.266000,0.266000,0.266000,0
2015-10-12,0.266000,0.266000,0.266000,0.266000,0.266000,0
2015-10-13,0.279000,0.305000,0.279000,0.305000,0.305000,3100
2015-10-14,0.295000,0.295000,0.295000,0.295000,0.295000,3000
2015-10-15,0.295000,0.295000,0.295000,0.295000,0.295000,0
2015-10-16,0.295000,0.295000,0.295000,0.295000,0.295000,0
2015-10-19,0.294000,0.294000,0.294000,0.294000,0.294000,4500
2015-10-20,0.320000,0.320000,0.320000,0.320000,0.320000,14500
2015-10-21,0.333000,0.333000,0.314000,0.314000,0.314000,15800
2015-10-22,0.323000,0.323000,0.323000,0.323000,0.323000,100
2015-10-23,0.325000,0.329000,0.325000,0.329000,0.329000,2100
2015-10-26,0.360000,0.379000,0.352000,0.370000,0.370000,13000
2015-10-27,0.380000,0.391000,0.380000,0.391000,0.391000,8600
2015-10-28,0.390000,0.422000,0.390000,0.412000,0.412000,35000
2015-10-29,0.412000,0.412000,0.412000,0.412000,0.412000,0
2015-10-30,0.419000,0.419000,0.419000,0.419000,0.419000,300
2015-11-02,0.425000,0.425000,0.425000,0.425000,0.425000,2000
2015-11-03,0.433000,0.434000,0.433000,0.434000,0.434000,4200
2015-11-04,0.441000,0.465000,0.441000,0.465000,0.465000,32700
2015-11-05,0.530000,0.552000,0.503000,0.537000,0.537000,68600
2015-11-06,0.547000,0.547000,0.476000,0.483000,0.483000,18000
2015-11-09,0.493000,0.493000,0.493000,0.493000,0.493000,100
2015-11-10,0.493000,0.493000,0.493000,0.493000,0.493000,0
2015-11-11,0.493000,0.493000,0.493000,0.493000,0.493000,0
2015-11-12,0.476000,0.476000,0.476000,0.476000,0.476000,500
2015-11-13,0.471000,0.471000,0.444000,0.444000,0.444000,7500
2015-11-16,0.485000,0.500000,0.482000,0.486000,0.486000,10500
2015-11-17,0.498000,0.501000,0.492000,0.500000,0.500000,4000
2015-11-18,0.499000,0.508000,0.499000,0.501000,0.501000,12500
2015-11-19,0.503000,0.503000,0.501000,0.501000,0.501000,1200
2015-11-20,0.510000,0.510000,0.471000,0.484000,0.484000,6700
2015-11-23,0.484000,0.484000,0.484000,0.484000,0.484000,0
